Channel Id,Channel Url,Channel Title
UC6107grRI4m0o2-emgoDnAA,http://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay
UC64TPBGPU1aPrSxIDYkNGpA,http://www.youtube.com/channel/UC64TPBGPU1aPrSxIDYkNGpA,Peter Jackson
UC67f2Qf7FYhtoUIF4Sf29cA,http://www.youtube.com/channel/UC67f2Qf7FYhtoUIF4Sf29cA,Bad Lip Reading
UC69xezPrX2RBtdZcuGr7pcA,http://www.youtube.com/channel/UC69xezPrX2RBtdZcuGr7pcA,Isabella Roland
UC6DbLEHgTj6VK7LvtzoGSIw,http://www.youtube.com/channel/UC6DbLEHgTj6VK7LvtzoGSIw,Ray Ramses
UC6IxnFzHofFJ5X2PycSMsww,http://www.youtube.com/channel/UC6IxnFzHofFJ5X2PycSMsww,xkcd's What If?
UC6MFZAOHXlKK1FI7V0XQVeA,http://www.youtube.com/channel/UC6MFZAOHXlKK1FI7V0XQVeA,ProZD
UC6euVgmyxub4W4ik6AnITsQ,http://www.youtube.com/channel/UC6euVgmyxub4W4ik6AnITsQ,dovsky
UC6k_GngLDtxbkUlZOq6_h5g,http://www.youtube.com/channel/UC6k_GngLDtxbkUlZOq6_h5g,The McElroy Family
UC6me-RzbQFQ-kRyr6BlGZWg,http://www.youtube.com/channel/UC6me-RzbQFQ-kRyr6BlGZWg,Paul E.T.
UC6nSFpj9HTCZ5t-N3Rm3-HA,http://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce
UC6wT4dQgdL1ZNLx0732wzyQ,http://www.youtube.com/channel/UC6wT4dQgdL1ZNLx0732wzyQ,geothebio
UC7-E5xhZBZdW-8d7V80mzfg,http://www.youtube.com/channel/UC7-E5xhZBZdW-8d7V80mzfg,Jenny Nicholson
UC78Ib99EBhMN3NemVjYm3Ig,http://www.youtube.com/channel/UC78Ib99EBhMN3NemVjYm3Ig,Grant Sanderson
UC7DdEm33SyaTDtWYGO2CwdA,http://www.youtube.com/channel/UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl
UC7EUiC7Jl-1rzwuepuIz5vw,http://www.youtube.com/channel/UC7EUiC7Jl-1rzwuepuIz5vw,optozorax
UC7Edgk9RxP7Fm7vjQ1d-cDA,http://www.youtube.com/channel/UC7Edgk9RxP7Fm7vjQ1d-cDA,Feminist Frequency
UC7HyRf8pnUeT7bFeAPsA8HQ,http://www.youtube.com/channel/UC7HyRf8pnUeT7bFeAPsA8HQ,The Infinite Review
UC7Jwj9fkrf1adN4fMmTkpug,http://www.youtube.com/channel/UC7Jwj9fkrf1adN4fMmTkpug,DankPods
UC7M-Wz4zK8oikt6ATcoTwBA,http://www.youtube.com/channel/UC7M-Wz4zK8oikt6ATcoTwBA,Freya Holmér
UC7_gcs09iThXybpVgjHZ_7g,http://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time
UC7sg9FpMWMamzWE2lJPY-Dg,http://www.youtube.com/channel/UC7sg9FpMWMamzWE2lJPY-Dg,The Back Focus
UC7vOjKF8-TGVimB572cMuDA,http://www.youtube.com/channel/UC7vOjKF8-TGVimB572cMuDA,Novacanoo
UC7vVhkEfw4nOGp8TyDk7RcQ,http://www.youtube.com/channel/UC7vVhkEfw4nOGp8TyDk7RcQ,Boston Dynamics
UC81hVmI5eEBIt3s3HQpJd_w,http://www.youtube.com/channel/UC81hVmI5eEBIt3s3HQpJd_w,boburnham
UC8P_raHQ4EoWTSH2GMESMQA,http://www.youtube.com/channel/UC8P_raHQ4EoWTSH2GMESMQA,Game Score Fanfare
